"restaurant_id","restaurant_name","avg_rating","total_revenue"
176,"Delhi Darbar 176","3.5","13877.56"
92,"Burger Factory 92","3.7","13162.58"
288,"Urban Tadka 288","3.6","12386.44"
41,"Golden Spoon 41","4.9","11065.40"
71,"Saffron Delight 71","3.4","11001.43"
212,"Saffron Delight 212","4.9","10926.50"
213,"Pizza Junction 213","4.9","9479.48"
200,"Chai & Chat 200","4.6","9419.76"
147,"The Food Studio 147","4.7","9413.07"
252,"Mumbai Masala 252","4.6","9088.22"
295,"Spice Villa 295","4.4","8926.39"
161,"Pizza Junction 161","4.0","8906.70"
253,"Spice Villa 253","3.8","8782.96"
56,"Kolkata Kitchen 56","3.9","8725.18"
112,"Punjabi Dhaba 112","3.0","8374.05"
86,"The Food Studio 86","3.7","8230.37"
215,"Dragon Wok 215","4.0","8108.65"
201,"Biryani House 201","3.8","8083.05"
156,"Pizza Junction 156","3.1","7956.84"
146,"Mumbai Masala 146","4.6","7868.08"
296,"Bombay Bistro 296","4.9","7841.98"
276,"Punjabi Dhaba 276","4.9","7791.88"
120,"Delhi Darbar 120","4.4","7763.58"
285,"Biryani House 285","4.4","7662.93"
284,"Chai & Chat 284","3.1","7649.69"
242,"Dragon Wok 242","5.0","7591.44"
249,"Golden Spoon 249","4.9","7541.99"
158,"Dragon Wok 158","3.8","7537.08"
168,"Annapurna Bhavan 168","3.9","7496.39"
237,"Mughal Mahal 237","3.8","7457.34"
155,"Delhi Darbar 155","3.8","7374.86"
74,"Golden Spoon 74","3.3","7271.42"
174,"Delhi Darbar 174","3.3","7169.82"
55,"Masala Magic 55","4.1","7137.17"
103,"The Curry Leaf 103","4.6","7027.01"
93,"South Spice 93","4.0","6982.75"
300,"Annapurna Bhavan 300","4.1","6956.08"
142,"The Curry Leaf 142","4.0","6948.59"
259,"Urban Tadka 259","4.1","6866.20"
63,"Masala Magic 63","4.7","6786.59"
172,"Chutney Express 172","3.1","6740.17"
184,"Dragon Wok 184","4.1","6702.09"
136,"Punjabi Dhaba 136","3.0","6686.82"
