"order_id","restaurant_name","delivery_time"
1,"Mumbai Masala 252",55
3,"Biryani House 138",60
5,"Bombay Bistro 68",47
7,"Delhi Darbar 198",46
14,"Mughal Mahal 164",60
16,"Taste of Punjab 280",55
19,"Annapurna Bhavan 194",58
23,"Taste of Punjab 266",56
29,"Mughal Mahal 237",60
30,"Golden Spoon 203",59
33,"Mumbai Masala 135",53
37,"Saffron Delight 71",47
39,"Dragon Wok 28",51
40,"Urban Tadka 259",46
41,"Flavours of India 251",56
42,"Chai & Chat 17",54
44,"Rasoi Ghar 188",48
45,"Tandoori Nights 127",48
49,"Golden Spoon 149",52
52,"Flavours of India 251",60
54,"Punjabi Dhaba 233",57
56,"Punjabi Dhaba 112",51
57,"Masala Magic 281",56
58,"Delhi Darbar 24",49
59,"Mumbai Masala 226",47
61,"The Hungry Panda 85",60
63,"Curry Kingdom 116",48
64,"Taste of Punjab 217",50
66,"Golden Spoon 74",56
70,"Chai & Chat 284",58
71,"Delhi Darbar 155",58
76,"Kolkata Kitchen 204",60
77,"Curry Kingdom 206",54
80,"Mumbai Masala 30",47
82,"Dragon Wok 84",53
84,"Chutney Express 172",53
85,"Pizza Junction 40",52
89,"Chai & Chat 284",46
93,"Rasoi Ghar 150",59
96,"Dragon Wok 158",53
98,"Saffron Delight 212",49
107,"Golden Spoon 208",55
112,"Golden Spoon 255",47
114,"Urban Tadka 152",55
115,"Saffron Delight 71",53
118,"Taste of Punjab 16",50
123,"Curry Kingdom 278",51
131,"South Spice 291",58
140,"Delhi Darbar 174",50
144,"The Curry Leaf 151",58
148,"Mumbai Masala 135",56
149,"Golden Spoon 44",54
150,"Chai & Chat 284",53
152,"Chai & Chat 258",56
156,"Taste of Punjab 267",59
157,"Pizza Junction 213",56
159,"Punjabi Dhaba 136",51
160,"The Curry Leaf 142",59
163,"Masala Magic 117",48
165,"Burger Factory 265",52
166,"Pizza Junction 207",56
167,"Mumbai Masala 30",49
168,"Madras Cafe 141",52
169,"Taste of Punjab 124",58
175,"Burger Factory 236",49
176,"Annapurna Bhavan 300",52
177,"Urban Tadka 288",58
178,"Pizza Junction 33",60
182,"Delhi Darbar 176",54
183,"Biryani House 260",55
186,"Biryani House 241",57
188,"Saffron Delight 71",46
198,"Madras Cafe 109",52
199,"The Curry Leaf 193",54
201,"Biryani House 64",50
203,"Dragon Wok 215",59
213,"Golden Spoon 140",50
215,"Chai & Chat 214",56
223,"Golden Spoon 41",56
225,"Chai & Chat 282",58
226,"Urban Tadka 288",49
227,"Annapurna Bhavan 115",55
230,"Curry Kingdom 210",59
232,"Taste of Punjab 231",57
234,"Taste of Punjab 248",57
235,"Golden Spoon 199",58
237,"Caf̩ Masaledar 232",46
240,"Burger Factory 92",60
241,"Urban Tadka 288",56
242,"The Food Studio 147",53
245,"Chai & Chat 53",55
250,"Mumbai Masala 96",52
253,"Delhi Darbar 155",55
254,"Golden Spoon 270",53
260,"Pizza Junction 264",51
263,"Annapurna Bhavan 218",54
266,"Biryani House 133",48
267,"Chai & Chat 200",54
270,"Taste of Punjab 16",54
274,"Madras Cafe 109",52
275,"Chutney Express 100",56
284,"Delhi Darbar 39",60
287,"Masala Magic 69",52
293,"Mumbai Masala 135",56
295,"Delhi Darbar 181",50
297,"Mumbai Masala 96",58
302,"Mumbai Masala 146",48
303,"Burger Factory 88",58
308,"Chai & Chat 1",47
309,"Annapurna Bhavan 272",50
311,"Mumbai Masala 146",46
312,"Bombay Bistro 296",53
315,"Caf̩ Masaledar 105",55
316,"Taste of Punjab 248",56
319,"Caf̩ Masaledar 47",58
321,"Taste of Punjab 267",58
323,"The Food Studio 147",58
330,"Spice Villa 295",48
331,"Delhi Darbar 174",49
333,"Masala Magic 162",53
336,"The Food Studio 94",51
340,"Madras Cafe 141",52
341,"Caf̩ Masaledar 66",47
344,"Dragon Wok 52",59
345,"Kolkata Kitchen 122",59
347,"South Spice 93",56
349,"South Spice 243",46
353,"The Hungry Panda 132",46
354,"Bombay Bistro 296",54
355,"Taste of Punjab 167",51
356,"Punjabi Dhaba 196",49
357,"Chai & Chat 173",59
366,"Kolkata Kitchen 240",55
367,"Curry Kingdom 91",49
368,"Annapurna Bhavan 223",60
369,"Saffron Delight 277",48
370,"Pizza Junction 156",53
373,"The Curry Leaf 192",55
375,"Mumbai Masala 146",54
385,"Taste of Punjab 267",50
386,"Punjabi Dhaba 112",60
390,"Rasoi Ghar 250",55
392,"Golden Spoon 249",55
395,"Rasoi Ghar 188",60
397,"Golden Spoon 199",51
401,"Chai & Chat 26",58
402,"Mumbai Masala 252",60
403,"Bombay Bistro 189",59
404,"Pizza Junction 156",53
405,"Delhi Darbar 198",53
409,"Rasoi Ghar 191",47
417,"Rasoi Ghar 250",56
420,"Punjabi Dhaba 196",53
422,"Mughal Mahal 229",52
426,"Urban Tadka 288",53
429,"Bombay Bistro 87",48
433,"Punjabi Dhaba 276",54
438,"Masala Magic 162",54
443,"Saffron Delight 45",59
444,"Taste of Punjab 124",47
446,"Saffron Delight 71",53
449,"Bombay Bistro 211",60
451,"South Spice 291",58
453,"Rasoi Ghar 95",50
454,"Curry Kingdom 210",46
455,"Caf̩ Masaledar 105",48
457,"Pizza Junction 161",56
458,"Taste of Punjab 267",49
462,"Kolkata Kitchen 73",48
466,"Urban Tadka 269",52
470,"Tandoori Nights 130",51
471,"Spice Villa 253",57
474,"Chai & Chat 17",58
476,"Urban Tadka 288",57
480,"Saffron Delight 45",58
482,"Golden Spoon 67",51
485,"Delhi Darbar 24",55
489,"Chai & Chat 19",50
496,"Pizza Junction 20",48
497,"Dragon Wok 79",50
501,"Curry Kingdom 12",60
507,"Burger Factory 197",47
510,"Mughal Mahal 50",49
513,"Burger Factory 88",58
516,"South Spice 34",57
518,"Rasoi Ghar 250",58
523,"Annapurna Bhavan 223",57
527,"Mumbai Masala 244",55
529,"Golden Spoon 74",47
530,"Pizza Junction 213",58
531,"Curry Kingdom 261",48
535,"Biryani House 239",53
536,"Pizza Junction 40",54
537,"Delhi Darbar 176",50
539,"Royal Tandoor 289",60
541,"Royal Tandoor 143",59
542,"Curry Kingdom 58",57
544,"Delhi Darbar 176",58
545,"Saffron Delight 212",48
554,"Urban Tadka 269",48
555,"The Food Studio 99",59
560,"Burger Factory 92",51
563,"Pizza Junction 129",51
572,"Flavours of India 251",54
574,"Flavours of India 61",53
577,"Chai & Chat 26",49
578,"Masala Magic 55",58
583,"The Curry Leaf 193",51
584,"Mumbai Masala 146",50
591,"Annapurna Bhavan 223",59
593,"Chai & Chat 60",48
596,"The Hungry Panda 75",49
599,"Delhi Darbar 176",58
602,"Tandoori Nights 127",57
610,"Annapurna Bhavan 272",47
613,"Rasoi Ghar 188",55
614,"Saffron Delight 71",54
617,"Masala Magic 63",54
621,"Curry Kingdom 12",54
623,"Taste of Punjab 267",46
624,"Golden Spoon 249",53
630,"Chutney Express 177",48
631,"Masala Magic 63",51
632,"Masala Magic 80",54
634,"Delhi Darbar 174",50
636,"Madras Cafe 48",58
638,"Rasoi Ghar 263",51
639,"South Spice 185",47
640,"Chutney Express 177",48
642,"Pizza Junction 213",58
643,"Urban Tadka 269",57
644,"Golden Spoon 140",55
646,"Annapurna Bhavan 300",55
647,"Dragon Wok 79",60
653,"Chai & Chat 25",53
658,"Golden Spoon 270",55
660,"Flavours of India 186",58
663,"Pizza Junction 40",47
667,"Madras Cafe 257",52
669,"South Spice 3",52
671,"Taste of Punjab 110",46
676,"Royal Tandoor 54",53
677,"Golden Spoon 203",57
679,"Masala Magic 63",51
682,"Flavours of India 251",60
684,"Dragon Wok 79",59
686,"Curry Kingdom 278",54
690,"Chai & Chat 284",56
693,"Curry Kingdom 179",60
696,"Taste of Punjab 167",47
697,"Punjabi Dhaba 11",57
701,"Punjabi Dhaba 136",56
704,"Urban Tadka 259",54
705,"Pizza Junction 264",55
707,"Biryani House 138",59
712,"Golden Spoon 249",47
714,"Curry Kingdom 91",51
717,"Pizza Junction 62",57
718,"Golden Spoon 255",58
720,"The Food Studio 90",48
722,"Royal Tandoor 143",50
724,"Masala Magic 63",48
726,"Royal Tandoor 225",46
727,"Mumbai Masala 252",46
732,"Bombay Bistro 211",50
737,"Flavours of India 61",53
740,"South Spice 145",46
741,"Golden Spoon 149",59
742,"Biryani House 235",50
743,"Madras Cafe 109",47
745,"Delhi Darbar 24",52
751,"Biryani House 285",48
755,"South Spice 93",52
756,"Madras Cafe 109",53
759,"Burger Factory 236",50
760,"Flavours of India 169",59
764,"Pizza Junction 62",47
766,"Mumbai Masala 244",58
767,"Mumbai Masala 96",47
769,"The Food Studio 43",47
772,"Annapurna Bhavan 218",49
775,"Pizza Junction 161",49
781,"Bombay Bistro 97",50
784,"Dragon Wok 242",57
786,"Delhi Darbar 254",55
787,"Golden Spoon 249",59
788,"The Hungry Panda 119",53
789,"Pizza Junction 33",46
791,"Chutney Express 177",52
797,"Chai & Chat 17",47
799,"The Curry Leaf 137",52
806,"Annapurna Bhavan 126",46
807,"Saffron Delight 212",53
808,"South Spice 227",53
810,"Spice Villa 295",53
816,"Curry Kingdom 12",57
819,"Punjabi Dhaba 233",57
821,"Royal Tandoor 72",53
822,"Delhi Darbar 299",49
823,"The Food Studio 42",47
824,"Pizza Junction 40",53
825,"Punjabi Dhaba 136",60
826,"Chai & Chat 214",52
828,"Curry Kingdom 287",58
829,"Golden Spoon 293",53
834,"Saffron Delight 71",49
835,"Taste of Punjab 167",59
836,"Delhi Darbar 174",48
838,"Golden Spoon 44",54
839,"The Hungry Panda 268",52
841,"Pizza Junction 228",58
846,"Flavours of India 51",46
847,"The Curry Leaf 27",58
849,"Taste of Punjab 248",60
851,"Pizza Junction 156",48
854,"The Food Studio 86",50
855,"Dragon Wok 180",57
858,"Delhi Darbar 176",48
859,"Saffron Delight 175",58
861,"Biryani House 285",51
862,"Punjabi Dhaba 276",48
865,"The Food Studio 99",60
871,"Tandoori Nights 130",49
875,"Rasoi Ghar 13",47
877,"Punjabi Dhaba 222",60
879,"Kolkata Kitchen 122",59
882,"Chai & Chat 53",55
884,"Punjabi Dhaba 233",47
886,"Flavours of India 35",56
887,"Flavours of India 216",59
888,"Bombay Bistro 31",57
890,"Rasoi Ghar 150",53
894,"Royal Tandoor 54",51
897,"Curry Kingdom 38",55
899,"Mumbai Masala 135",55
901,"Delhi Darbar 174",49
904,"Annapurna Bhavan 126",57
905,"Annapurna Bhavan 168",60
907,"The Food Studio 86",52
908,"Caf̩ Masaledar 165",53
910,"Kolkata Kitchen 107",48
913,"Rasoi Ghar 22",59
923,"Taste of Punjab 108",55
925,"Punjabi Dhaba 276",57
926,"Dragon Wok 79",60
928,"Kolkata Kitchen 56",48
931,"Delhi Darbar 120",53
932,"Madras Cafe 6",46
934,"Golden Spoon 67",47
936,"The Food Studio 104",48
937,"Golden Spoon 270",51
939,"Biryani House 201",46
941,"South Spice 123",60
942,"Punjabi Dhaba 112",55
943,"Urban Tadka 259",48
944,"Mughal Mahal 237",60
946,"Annapurna Bhavan 168",49
953,"The Curry Leaf 103",46
955,"Kolkata Kitchen 56",55
958,"South Spice 34",59
959,"Bombay Bistro 211",51
961,"Masala Magic 69",60
962,"Flavours of India 35",58
964,"Spice Villa 159",47
968,"Delhi Darbar 176",54
969,"Biryani House 114",53
971,"Chai & Chat 65",57
972,"Spice Villa 121",47
973,"Annapurna Bhavan 126",58
975,"The Food Studio 86",47
976,"Tandoori Nights 247",47
978,"Mumbai Masala 146",58
983,"Curry Kingdom 261",60
984,"Annapurna Bhavan 218",50
985,"Biryani House 76",49
995,"Biryani House 133",60
997,"Annapurna Bhavan 300",51
998,"The Curry Leaf 137",57
999,"The Hungry Panda 268",58
1000,"Golden Spoon 249",58
